date,open,high,low,close,volume
2025-05-08,15841.6,15925.92,15838.36,15925.92,
2025-05-09,15925.92,16005.67,15902.87,15916.17,
2025-05-14,15916.17,16188.91,15916.17,16131.24,
2025-05-15,16131.24,16340.73,16129.45,16314.79,
2025-05-16,16314.79,16417.17,16314.1,16379.39,
2025-05-19,16379.39,16472.66,16379.39,16397.68,
2025-05-20,16397.68,16429.61,16316.4,16336.25,
2025-05-21,16336.25,16368.62,16328.51,16355.91,
2025-05-22,16355.91,16505.13,16355.91,16473.37,
2025-05-23,16473.37,16551.81,16473.37,16494.46,
2025-05-26,16494.46,16556.86,16486.77,16496.24,
2025-05-27,16496.24,16694.38,16496.19,16657.63,
2025-05-28,16657.63,16728.13,16610.62,16712.87,
2025-05-29,16712.87,16855.6,16712.16,16815.6,
2025-05-30,16815.6,16879.37,16798.37,16854.86,
2025-06-02,16854.86,17008.95,16854.22,16979.89,
2025-06-03,16979.89,17256.73,16979.32,17214.39,
2025-06-04,17214.39,17414.55,17214.39,17353.05,
2025-06-05,17353.05,17455.24,17299.0,17434.94,
2025-06-06,17434.94,17526.56,17380.82,17394.45,
2025-06-09,17394.45,17514.95,17332.97,17500.24,
2025-06-11,17500.24,17672.13,17499.23,17657.6,
2025-06-12,17657.6,17711.77,17559.8,17661.45,
2025-06-13,17661.45,17661.45,17344.06,17427.08,
2025-06-16,17427.08,17427.08,17048.66,17360.19,
2025-06-17,17360.19,17527.17,17266.38,17281.95,
2025-06-18,17281.95,17307.61,17041.34,17071.44,
2025-06-19,17071.44,17105.26,16809.4,16818.21,
2025-06-20,16818.21,17114.85,16817.56,17087.95,
2025-06-23,17087.95,17087.95,16741.43,16765.4,
2025-06-24,16765.4,17318.09,16765.4,17191.2,
2025-06-25,17191.2,17539.28,17191.2,17535.62,
2025-06-26,17535.62,17767.2,17535.62,17740.46,
2025-06-27,17740.46,17883.88,17735.56,17872.74,
2025-06-30,17872.74,18040.28,17872.74,18026.72,
2025-07-01,18026.72,18057.82,17957.37,17996.73,
2025-07-02,17996.73,18144.1,17996.53,18141.79,
2025-07-03,18141.79,18229.34,18100.92,18100.92,
2025-07-04,18100.92,18179.44,17974.25,18148.34,
2025-07-07,18148.34,18160.98,18038.87,18042.2,
2025-07-08,18042.2,18063.23,17882.89,18032.12,
2025-07-09,18032.12,18187.23,18030.98,18161.49,
2025-07-11,18161.49,18575.41,18104.81,18541.26,
2025-07-14,18541.26,18872.58,18513.27,18838.39,
2025-07-15,18838.39,19060.89,18783.9,18946.27,
2025-07-16,18946.27,19032.21,18872.26,18884.96,
2025-07-17,18884.96,18901.41,18711.61,18876.85,
2025-07-18,18876.85,18991.09,18876.61,18973.7,
2025-07-21,18973.7,19135.53,18973.7,19044.08,
2025-07-22,19044.08,19127.71,18968.5,19091.93,
2025-07-23,19091.93,19274.92,19091.89,19243.08,
2025-07-24,19243.08,19414.51,19242.79,19379.24,
2025-07-25,19379.24,19498.07,19354.96,19467.71,
2025-07-28,19467.71,19594.02,19467.42,19517.86,
2025-07-29,19517.86,19552.15,19405.91,19532.2,
2025-07-30,19532.2,19684.37,19531.83,19566.15,
2025-07-31,19566.15,19670.17,19539.93,19642.48,
2025-08-01,19642.48,19914.25,19642.48,19914.25,
2025-08-04,19914.25,20038.1,19778.85,19786.23,
2025-08-05,19786.23,19816.31,19663.29,19718.0,
2025-08-06,19718.0,19825.7,19717.52,19804.8,
2025-08-07,19804.8,19893.51,19803.47,19826.57,
2025-08-11,19826.57,19970.16,19823.38,19923.02,
2025-08-12,19923.02,20001.16,19874.26,19972.79,
2025-08-13,19972.79,20010.32,19938.27,19975.5,
2025-08-14,19975.5,20038.05,19892.12,19928.67,
2025-08-15,19928.67,20258.91,19922.11,20218.36,
2025-08-18,20218.36,20476.84,20218.36,20470.52,
2025-08-19,20470.52,20668.96,20470.49,20571.07,
2025-08-20,20571.07,20746.13,20571.07,20714.8,
2025-08-21,20714.8,20801.54,20641.65,20715.49,
2025-08-22,20715.49,20820.48,20637.55,20649.2,
2025-08-25,20649.2,20657.06,20455.75,20575.59,
2025-08-26,20575.59,20676.29,20570.74,20613.39,
2025-08-27,20613.39,20779.12,20613.29,20753.21,
2025-08-28,20753.21,20840.34,20752.59,20800.26,
2025-08-29,20800.26,21018.29,20800.26,20997.36,
2025-09-01,20997.36,21122.14,20997.36,21062.45,
2025-09-02,21062.45,21132.34,20984.86,20990.67,
2025-09-03,20990.67,21057.15,20951.8,20975.73,
2025-09-04,20975.73,21070.23,20963.16,20991.98,
2025-09-08,20991.98,21133.93,20844.06,20905.83,
2025-09-09,20905.83,20942.93,20661.89,20674.11,
2025-09-10,20674.11,20847.94,20495.6,20769.34,
2025-09-11,20769.34,20890.54,20620.36,20641.83,
2025-09-12,20641.83,20692.55,20540.0,20612.4,
2025-09-15,20612.4,20661.12,20354.89,20355.39,
2025-09-16,20355.39,20660.71,20352.71,20619.37,
2025-09-17,20619.37,20837.26,20619.37,20775.42,
2025-09-18,20775.42,20996.75,20775.21,20965.26,
2025-09-19,20965.26,21112.71,20965.26,21085.09,
2025-09-22,21085.09,21322.78,21085.09,21226.87,
2025-09-23,21226.87,21316.97,21226.87,21282.84,
2025-09-24,21282.84,21378.16,21282.84,21338.45,
2025-09-25,21338.45,21553.15,21338.45,21521.06,
2025-09-26,21521.06,21626.43,21519.82,21598.99,
2025-09-29,21598.99,21690.24,21597.13,21676.3,
2025-09-30,21676.29,21801.67,21655.27,21778.6,
2025-10-01,21778.6,21888.14,21777.69,21851.3,
2025-10-02,21851.3,21981.21,21851.2,21951.79,
2025-10-03,21951.79,22128.76,21938.31,22094.89,
2025-10-07,22094.89,22260.25,22093.32,22163.23,
2025-10-08,22163.23,22176.78,22020.1,22097.99,
2025-10-09,22097.99,22213.71,22097.61,22174.74,
2025-10-10,22174.74,22361.78,22174.74,22318.72,
2025-10-13,22318.72,22386.16,22222.11,22321.08,
2025-10-14,22321.08,22436.47,22321.08,22372.57,
2025-10-15,22372.57,22454.44,22275.02,22292.28,
2025-10-16,22292.28,22451.64,22291.54,22416.15,
2025-10-17,22416.15,22633.8,22393.87,22633.8,
2025-10-21,22633.8,22806.86,22633.77,22783.62,
2025-10-22,22783.62,22907.58,22769.53,22791.07,
2025-10-23,22791.08,22929.09,22791.0,22850.95,
2025-10-24,22850.95,22947.64,22803.1,22812.52,
2025-10-27,22812.52,22925.97,22788.15,22788.79,
2025-10-28,22788.79,22832.75,22552.98,22689.22,
2025-10-29,22689.22,22820.42,22689.22,22777.12,
2025-10-30,22777.12,22860.51,22775.61,22839.53,
2025-10-31,22839.53,22896.95,22788.13,22804.84,
2025-11-03,22804.84,22942.46,22804.33,22928.31,
2025-11-04,22928.31,23028.84,22925.61,22953.49,
2025-11-06,22953.49,23135.29,22953.49,23112.48,
2025-11-07,23112.48,23390.59,23110.89,23338.25,
2025-11-10,23338.25,23567.78,23338.25,23502.59,
2025-11-11,23502.59,23623.79,23463.9,23582.16,
2025-11-12,23582.16,23769.46,23582.16,23659.7,
2025-11-13,23659.7,23711.25,23447.02,23461.46,
2025-11-14,23461.46,23513.14,23273.75,23459.75,
2025-11-17,23459.75,23465.65,23223.68,23223.68,
2025-11-18,23223.68,23346.17,23046.99,23051.66,
2025-11-19,23051.66,23120.53,22926.59,23029.86,
2025-11-20,23029.86,23143.3,23024.75,23104.96,
2025-11-21,23104.96,23120.12,22959.64,22982.72,
2025-11-24,22982.72,23016.69,22620.86,22644.88,
2025-11-25,22644.88,22847.93,22642.8,22819.91,
2025-11-26,22819.91,22956.95,22819.91,22844.23,
2025-11-27,22838.44,22868.55,22654.88,22662.09,
2025-11-28,22662.09,22748.32,22523.69,22712.82,
2025-12-01,22712.82,22712.82,21881.46,22022.06,
2025-12-02,22022.06,22468.53,21969.29,22241.57,
2025-12-03,22241.57,22335.54,21826.59,21826.59,
2025-12-05,21826.59,21935.9,21431.28,21497.08,
2025-12-08,21497.08,21828.61,21497.08,21594.86,
2025-12-09,21594.86,22099.72,21594.86,22034.32,
2025-12-10,22034.32,22483.47,22034.32,22422.43,
2025-12-11,22422.43,22619.19,22395.83,22459.28,
2025-12-12,22459.28,22572.08,22457.47,22508.26,
2025-12-15,22508.26,22569.86,22272.07,22294.77,
2025-12-16,22294.77,22378.27,22256.3,22333.25,
2025-12-17,22333.25,22388.16,22327.46,22329.69,
2025-12-18,22329.69,22398.09,22284.59,22292.57,
2025-12-19,22292.57,22304.35,22139.08,22149.09,
2025-12-22,22149.09,22194.48,21890.29,21898.2,
2025-12-23,21898.2,21969.05,21864.39,21927.0,
2025-12-24,21927.0,21985.09,21912.43,21959.05,
2025-12-26,21959.05,22094.42,21959.05,22068.84,
2025-12-29,22068.83,22203.87,22068.83,22132.33,
2025-12-30,22132.33,22484.89,22132.33,22445.89,
2025-12-31,22445.89,22677.46,22445.89,22624.31,
2026-01-02,22624.31,22912.22,22624.09,22864.08,
2026-01-05,22864.08,23044.0,22864.08,23014.75,
2026-01-06,23014.75,23340.67,23014.75,23292.91,
2026-01-07,23292.91,23505.83,23292.91,23423.57,
2026-01-08,23292.91,23585.95,23292.47,23527.13,
2026-01-09,23527.13,23689.52,23527.13,23654.3,
2026-01-12,23654.3,23841.73,23561.59,23608.51,
2026-01-13,23608.51,23680.83,23525.44,23607.8,
2026-01-14,23607.8,23779.0,23605.64,23708.7,
2026-01-16,23708.7,23808.78,23678.95,23731.6,
2026-01-19,23731.6,23808.4,23617.63,23627.87,
2026-01-20,23627.87,23660.42,23537.59,23623.74,
2026-01-21,23623.74,23828.13,23620.51,23806.32,
2026-01-22,23806.32,23862.13,23783.52,23813.77,
2026-01-23,23813.77,24004.34,23813.49,23956.51,
2026-01-26,23956.51,24058.25,23949.27,23953.09,
2026-01-27,23953.09,24012.88,23927.35,23960.16,
2026-01-28,23960.16,24070.93,23947.76,23992.11,
2026-01-29,23992.11,24047.75,23872.18,23900.89,
2026-01-30,23900.89,23964.07,23812.31,23812.31,
2026-02-02,23812.31,23853.76,23622.17,23681.68,
2026-02-03,23681.68,23791.31,23681.68,23734.5,
2026-02-05,23734.5,23864.2,23734.34,23768.99,
2026-02-06,23768.99,23836.5,23736.96,23801.96,
2026-02-09,23801.96,23862.91,23754.26,23754.26,
2026-02-10,23754.26,23820.27,23650.12,23651.09,
2026-02-11,23651.09,23691.95,23610.96,23655.68,
2026-02-12,23655.68,23699.5,23623.06,23652.51,
2026-02-13,23652.51,23749.77,23652.51,23709.84,
2026-02-16,23709.84,23933.86,23709.84,23900.11,
2026-02-17,23900.11,23972.03,23851.22,23882.82,
2026-02-18,23882.82,23943.75,23882.82,23919.84,
2026-02-19,23919.84,24030.93,23849.08,23870.07,
2026-02-20,23870.07,23908.14,23674.57,23773.64,
2026-02-23,23773.64,23888.17,23772.26,23783.02,
2026-02-24,23783.02,23823.91,23678.04,23690.62,
2026-02-25,23690.62,23775.8,23678.36,23703.1,
2026-02-26,23703.1,23817.96,23703.1,23781.23,
2026-02-27,23781.23,23820.56,23706.68,23734.06,
